timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703696666737,896,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-2,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,896,0,434
1703696667423,218,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-4,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,218,0,0
1703696667444,220,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-1,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,220,0,0
1703696666815,869,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-14,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,869,0,416
1703696667470,214,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-3,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,214,0,0
1703696666788,908,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-12,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,908,0,432
1703696666840,875,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-15,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,875,0,420
1703696666809,919,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-16,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,919,0,433
1703696666885,862,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-19,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,862,0,420
1703696667542,211,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-10,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,211,0,0
1703696667552,208,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-8,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,208,0,0
1703696667548,212,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-11,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,212,0,0
1703696667542,220,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-9,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,220,0,0
1703696667557,219,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-7,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,219,0,0
1703696666925,856,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-17,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,856,0,421
1703696667584,207,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-5,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,207,0,0
1703696667596,209,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-13,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,209,0,0
1703696667600,207,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-6,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,207,0,0
1703696666943,874,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-18,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,874,0,414
1703696666958,860,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-20,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,860,0,414
1703696667642,224,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-4,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,224,0,0
1703696667665,216,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-1,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,216,0,0
1703696667685,207,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-3,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,207,0,0
1703696667696,209,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-12,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,209,0,0
1703696667685,230,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-14,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,230,0,0
1703696667715,220,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-15,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,220,0,0
1703696667728,230,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-16,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,230,0,0
1703696667633,326,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-2,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,326,0,0
1703696667747,213,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-19,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,213,0,0
1703696667754,206,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-10,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,206,0,0
1703696667762,225,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-9,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,225,0,0
1703696667760,227,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-8,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,227,0,0
1703696667760,228,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-11,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,227,0,0
1703696667776,216,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-7,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,216,0,0
1703696667781,217,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-17,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,217,0,0
1703696667791,217,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-5,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,217,0,0
1703696667805,208,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-13,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,208,0,0
1703696667807,216,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-6,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,216,0,0
